Category1,Source1,Category2,Source2,similarity,PapersInC1,PapersInC2,PapersInBoth,Discripancy
population,OpenAIRE,population,OpenAlex,1.0,660,1048,497,0.4104046242774566
inference,OpenAIRE,inference,OpenAlex,1.0,520,1021,453,0.4163602941176471
psychology,OpenAIRE,psychology,OpenAlex,1.0,4003,7484,3768,0.4881461329187718
biometrics,OpenAIRE,biometrics,OpenAlex,1.0,66,70,49,0.5632183908045977
covariance,OpenAIRE,covariance,OpenAlex,1.0,103,147,75,0.4285714285714285
univariate,OpenAIRE,univariate,OpenAlex,1.0,50,69,41,0.5256410256410257
biometrics,OpenAlex,biometrics,OpenAIRE,1.0,70,66,49,0.5632183908045977
ultrasound,OpenAIRE,ultrasound,OpenAlex,1.0,27,35,21,0.5121951219512195
neuroradiology,OpenAlex,neuroradiology,OpenAIRE,1.0,6,5,4,0.5714285714285714
ultrasound,OpenAlex,ultrasound,OpenAIRE,1.0,35,27,21,0.5121951219512195
sexual selection,OpenAIRE,sexual selection,OpenAlex,1.0,93,107,84,0.7241379310344828
mate choice,OpenAIRE,mate choice,OpenAlex,1.0,51,58,37,0.5138888888888888
imitation,OpenAIRE,imitation,OpenAlex,1.0,35,42,28,0.5714285714285714
mate choice,OpenAlex,mate choice,OpenAIRE,1.0,58,51,37,0.5138888888888888
sexual selection,OpenAlex,sexual selection,OpenAIRE,1.0,107,93,84,0.7241379310344828
imitation,OpenAlex,imitation,OpenAIRE,1.0,42,35,28,0.5714285714285714
absorptive capacity,OpenAIRE,absorptive capacity,OpenAlex,1.0,16,10,10,0.625
subsidiary,OpenAIRE,subsidiary,OpenAlex,1.0,6,5,4,0.5714285714285714
multinational corporation,OpenAIRE,multinational corporation,OpenAlex,1.0,22,25,18,0.6206896551724138
absorptive capacity,OpenAlex,absorptive capacity,OpenAIRE,1.0,10,16,10,0.625
multinational corporation,OpenAlex,multinational corporation,OpenAIRE,1.0,25,22,18,0.6206896551724138
fractal,OpenAIRE,fractal,OpenAlex,1.0,58,82,49,0.5384615384615384
equivalent circuit,OpenAIRE,equivalent circuit,OpenAlex,1.0,10,10,6,0.4285714285714285
capacitance,OpenAIRE,capacitance,OpenAlex,1.0,11,13,7,0.4117647058823529
capacitance,OpenAlex,capacitance,OpenAIRE,1.0,13,11,7,0.4117647058823529
fractal,OpenAlex,fractal,OpenAIRE,1.0,82,58,49,0.5384615384615384
equivalent circuit,OpenAlex,equivalent circuit,OpenAIRE,1.0,10,10,6,0.4285714285714285
artificial neural network,OpenAIRE,artificial neural network,OpenAlex,1.0,1379,1958,958,0.4026902059688945
sigma,OpenAIRE,sigma,OpenAlex,1.0,12,11,7,0.4375
