Category1,Source1,Category2,Source2,similarity,PapersInC1,PapersInC2,PapersInBoth,Discripancy
identification (information),OpenAIRE,identification (biology),OpenAlex,0.9738769714436636,260,480,186,0.335740072202166
sample (statistics),OpenAIRE,sample (material),OpenAlex,0.981878685324178,156,329,97,0.25
education,OpenAIRE,population,OpenAlex,0.581628270119776,1474,1048,509,0.252856433184302
social sciences,OpenAIRE,psychology,OpenAlex,0.7303397909770625,4511,7484,2541,0.2687751216416332
artificial intelligence,OpenAIRE,computer science,OpenAlex,0.7153607433899932,7904,28905,7904,0.2734475004324511
business,OpenAIRE,computer science,OpenAlex,0.5153315050421815,12894,28905,12894,0.4460819927348209
engineering and technology,OpenAIRE,computer science,OpenAlex,0.7597246508473249,7061,28905,7061,0.2442829960214495
mathematics,OpenAIRE,statistics,OpenAlex,0.5762905395732861,5052,4760,1814,0.2268067016754188
engineering and technology,OpenAIRE,mathematics,OpenAlex,0.5968238872209795,7061,12607,3445,0.2123528323984466
artificial intelligence,OpenAIRE,mathematics,OpenAlex,0.5312505345747508,7904,12607,3905,0.2351559677225099
computer science,OpenAIRE,mathematics,OpenAlex,0.7486759063068048,9673,12607,4290,0.2384658143413007
engineering and technology,OpenAIRE,artificial intelligence,OpenAlex,0.7301847394534217,7061,28905,7061,0.2442829960214495
,OpenAIRE,artificial intelligence,OpenAlex,0.3311247188618926,7212,28905,7212,0.2495070057083549
computer science,OpenAIRE,artificial intelligence,OpenAlex,0.7153607433899932,9673,28905,9673,0.3346479847777201
population,OpenAIRE,demography,OpenAlex,0.624707758656191,660,907,416,0.3614248479582971
microeconomics,OpenAlex,economics,OpenAIRE,1.0000000110539065,580,1044,294,0.2210526315789473
covariance matrix,OpenAIRE,covariance,OpenAlex,0.8924730329832957,81,147,42,0.2258064516129032
shape analysis (digital geometry),OpenAIRE,shape analysis (program analysis),OpenAlex,0.9616651720454492,29,24,10,0.2325581395348837
metric (mathematics),OpenAIRE,metric (unit),OpenAlex,0.964636151529378,128,288,100,0.3164556962025316
"electrical engineering, electronic engineering, information engineering",OpenAIRE,pattern recognition (psychology),OpenAlex,0.4013832882919645,5062,3593,1509,0.2111670864819479
artificial intelligence & image processing,OpenAIRE,pattern recognition (psychology),OpenAlex,0.4338127837484393,3682,3593,1378,0.2336781414278446
pattern recognition,OpenAIRE,pattern recognition (psychology),OpenAlex,0.4053248869949377,2061,3593,1764,0.4534704370179948
applications of computer vision/computer vision/image processing,OpenAIRE,pattern recognition (psychology),OpenAlex,0.4951479928071396,1524,3593,888,0.2099787183731378
artificial intelligence,OpenAlex,computer science,OpenAIRE,0.7153607433899932,28905,9673,9673,0.3346479847777201
mathematics,OpenAlex,computer science,OpenAIRE,0.7486759063068048,12607,9673,4290,0.2384658143413007
machine learning,OpenAlex,computer science,OpenAIRE,0.6942060868225773,4810,9673,2674,0.2264374629519857
context (archaeology),OpenAlex,context (language use),OpenAIRE,0.9030110254668426,1330,894,734,0.4926174496644295
neuroscience,OpenAlex,humans,OpenAIRE,0.3963452826205165,3636,4998,1826,0.268213866039953
psychology,OpenAlex,humans,OpenAIRE,0.3963452826205165,7484,4998,2746,0.2820460147904683
pattern recognition (psychology),OpenAlex,pattern recognition,OpenAIRE,0.4053248869949377,3593,2061,1764,0.4534704370179948
metric (unit),OpenAlex,metric (mathematics),OpenAIRE,0.964636151529378,288,128,100,0.3164556962025316
computer vision,OpenAlex,artificial intelligence,OpenAIRE,0.7091882296432057,3074,7904,2143,0.2425580079230334
mathematics,OpenAlex,artificial intelligence,OpenAIRE,0.5312505345747508,12607,7904,3905,0.2351559677225099
computer science,OpenAlex,artificial intelligence,OpenAIRE,0.7153607433899932,28905,7904,7904,0.2734475004324511
machine learning,OpenAlex,artificial intelligence,OpenAIRE,0.6376737039044181,4810,7904,2582,0.2548361626529806
machine learning,OpenAlex,business,OpenAIRE,0.5431599191434158,4810,12894,2988,0.2030443055178037
computer science,OpenAlex,business,OpenAIRE,0.5153315050421815,28905,12894,12894,0.4460819927348209
algorithm,OpenAlex,mathematics,OpenAIRE,0.4863905761114613,4483,5052,1906,0.2498361515270677
statistics,OpenAlex,mathematics,OpenAIRE,0.5762905395732861,4760,5052,1814,0.2268067016754188
mathematical analysis,OpenAlex,mathematics,OpenAIRE,0.7658389802251167,3372,5052,1515,0.2192792010421189
field (computer science),OpenAIRE,field (mathematics),OpenAlex,0.9649903451173206,441,1031,326,0.2844677137870855
object (computer science),OpenAIRE,object (grammar),OpenAlex,0.9412235307794352,244,952,204,0.2056451612903226
operator (computer programming),OpenAIRE,operator (biology),OpenAlex,0.9584634161643516,69,127,49,0.3333333333333333
genetics,OpenAIRE,gene,OpenAlex,0.655035911670675,974,2468,715,0.2621928859552622
biology,OpenAIRE,gene,OpenAlex,0.4150401839209416,2128,2468,1077,0.3060528559249786
galaxy,OpenAlex,astrophysics,OpenAIRE,0.2403047284927949,30,66,19,0.2467532467532467
star (game theory),OpenAlex,star (graph theory),OpenAIRE,0.9371888478228714,7,5,3,0.3333333333333333
rotation (mathematics),OpenAlex,rotation,OpenAIRE,0.3907731585095051,124,60,31,0.2026143790849673
ultrasonography,OpenAIRE,ultrasound,OpenAlex,1.000000092227831,26,35,16,0.3555555555555555
clinical medicine,OpenAIRE,medicine,OpenAlex,0.8842588104052144,2885,3005,982,0.200081499592502
perfusion,OpenAlex,perfusion scanning,OpenAIRE,0.9003366889300303,7,5,3,0.3333333333333333
medicine,OpenAlex,clinical medicine,OpenAIRE,0.8842588104052144,3005,2885,982,0.200081499592502
ultrasound,OpenAlex,ultrasonography,OpenAIRE,1.000000092227831,35,26,16,0.3555555555555555
neurology,OpenAlex,neuroradiology,OpenAIRE,0.9999999645202712,10,5,4,0.3636363636363636
mate choice,OpenAIRE,sexual selection,OpenAlex,0.4012893196514377,51,107,37,0.3057851239669421
mating,OpenAIRE,sexual selection,OpenAlex,0.6427836963057078,31,107,24,0.2105263157894736
sexual selection,OpenAIRE,mate choice,OpenAlex,0.4012893196514377,93,58,46,0.4380952380952381
biology,OpenAIRE,selection (genetic algorithm),OpenAlex,0.3369721405341506,2128,1923,824,0.255345522156802
biology,OpenAIRE,evolutionary biology,OpenAlex,0.9399967557069244,2128,1672,751,0.2463102656608724
sexual selection,OpenAIRE,mating,OpenAlex,0.6427836963057078,93,91,55,0.4263565891472868
humans,OpenAIRE,neuroscience,OpenAlex,0.3963452826205165,4998,3636,1826,0.268213866039953
cognition,OpenAIRE,neuroscience,OpenAlex,0.7073213604074343,1074,3636,838,0.2164256198347107
psychology,OpenAIRE,neuroscience,OpenAlex,1.0000000315662831,4003,3636,1924,0.33665791776028
sexual selection,OpenAlex,mate choice,OpenAIRE,0.4012893196514377,107,51,37,0.3057851239669421
mate choice,OpenAlex,sexual selection,OpenAIRE,0.4012893196514377,58,93,46,0.4380952380952381
mating,OpenAlex,sexual selection,OpenAIRE,0.6427836963057078,91,93,55,0.4263565891472868
selection (genetic algorithm),OpenAlex,biology,OpenAIRE,0.3369721405341506,1923,2128,824,0.255345522156802
computational biology,OpenAlex,biology,OpenAIRE,0.9027508892126634,769,2128,565,0.2422813036020583
evolutionary biology,OpenAlex,biology,OpenAIRE,0.9399967557069244,1672,2128,751,0.2463102656608724
genetics,OpenAlex,biology,OpenAIRE,0.8202186941629346,1750,2128,1135,0.4137805322639445
gene,OpenAlex,biology,OpenAIRE,0.4150401839209416,2468,2128,1077,0.3060528559249786
strategy and management,OpenAIRE,business,OpenAlex,0.6856893568974809,927,2222,548,0.2106881968473664
marketing,OpenAIRE,business,OpenAlex,0.7651258677085938,1239,2222,806,0.303578154425612
economics and business,OpenAIRE,business,OpenAlex,0.8179085372478633,2249,2222,977,0.2796222095020034
business & management,OpenAIRE,business,OpenAlex,0.5051385913265363,1242,2222,742,0.2725936811168258
