CategoryName,Source,NumberOfPapers
"""artificial intelligence""","""OpenAlex""",5712
"""computer science""","""OpenAlex""",5712
"""business""","""OpenAIRE""",2559
"""business.industry""","""OpenAIRE""",2492
"""mathematics""","""OpenAlex""",2465
"""computer science""","""OpenAIRE""",1928
"""physics""","""OpenAlex""",1579
"""artificial intelligence""","""OpenAIRE""",1551
"""null""","""OpenAIRE""",1460
"""psychology""","""OpenAlex""",1451
"""biology""","""OpenAlex""",1448
"""engineering and technology""","""OpenAIRE""",1390
"""philosophy""","""OpenAlex""",1180
"""medical and health sciences""","""OpenAIRE""",1129
"""programming language""","""OpenAlex""",1116
"""engineering""","""OpenAlex""",1020
"""mathematics""","""OpenAIRE""",993
"""statistics""","""OpenAlex""",990
"""electrical engineering, electronic engineering, information engineering""","""OpenAIRE""",984
"""humans""","""OpenAIRE""",964
"""quantum mechanics""","""OpenAlex""",964
"""machine learning""","""OpenAlex""",953
"""computer""","""OpenAIRE""",924
"""economics""","""OpenAlex""",897
"""algorithm""","""OpenAlex""",888
"""social sciences""","""OpenAIRE""",887
"""computer.software_genre""","""OpenAIRE""",859
"""psychology""","""OpenAIRE""",761
"""political science""","""OpenAlex""",751
"""artificial intelligence & image processing""","""OpenAIRE""",744
"""pattern recognition (psychology)""","""OpenAlex""",728
"""neuroscience""","""OpenAlex""",715
"""media_common""","""OpenAIRE""",707
"""media_common.quotation_subject""","""OpenAIRE""",704
"""law""","""OpenAlex""",698
"""image (mathematics)""","""OpenAlex""",693
"""sociology""","""OpenAlex""",678
"""mathematical analysis""","""OpenAlex""",643
"""epistemology""","""OpenAlex""",637
"""natural sciences""","""OpenAIRE""",630
"""basic medicine""","""OpenAIRE""",630
"""software""","""OpenAIRE""",627
"""computer vision""","""OpenAlex""",618
"""medicine""","""OpenAlex""",616
"""geometry""","""OpenAlex""",610
"""operating system""","""OpenAlex""",604
"""developmental biology""","""OpenAIRE""",604
"""clinical medicine""","""OpenAIRE""",565
"""medicine""","""OpenAIRE""",564
"""control (management)""","""OpenAlex""",564
"""linguistics""","""OpenAlex""",560
"""data mining""","""OpenAlex""",552
"""chemistry""","""OpenAlex""",531
"""electrical and electronic engineering""","""OpenAIRE""",493
"""gene""","""OpenAlex""",489
"""computer science applications""","""OpenAIRE""",474
"""perspective (graphical)""","""OpenAlex""",469
"""economics and business""","""OpenAIRE""",462
"""business""","""OpenAlex""",456
"""social psychology""","""OpenAlex""",449
"""set (abstract data type)""","""OpenAlex""",444
"""cognitive psychology""","""OpenAlex""",435
"""biology""","""OpenAIRE""",415
"""fos: computer and information sciences""","""OpenAIRE""",413
"""pattern recognition""","""OpenAIRE""",410
"""applied mathematics""","""OpenAIRE""",404
"""artificial neural network""","""OpenAlex""",396
"""health sciences""","""OpenAIRE""",393
"""machine learning""","""OpenAIRE""",381
"""selection (genetic algorithm)""","""OpenAlex""",379
"""algorithm""","""OpenAIRE""",376
"""variety (cybernetics)""","""OpenAlex""",372
"""biochemistry""","""OpenAlex""",366
"""geography""","""OpenAlex""",362
"""ecology""","""OpenAlex""",354
"""pure mathematics""","""OpenAlex""",352
"""control theory (sociology)""","""OpenAlex""",352
