n.category_name,n.source
"""residual""","""OpenAlex"""
"""computer science""","""OpenAlex"""
"""coco""","""OpenAlex"""
"""artificial intelligence""","""OpenAlex"""
"""object detection""","""OpenAlex"""
"""deep learning""","""OpenAlex"""
"""segmentation""","""OpenAlex"""
"""pattern recognition (psychology)""","""OpenAlex"""
"""set (abstract data type)""","""OpenAlex"""
"""layer (electronics)""","""OpenAlex"""
"""artificial neural network""","""OpenAlex"""
"""task (project management)""","""OpenAlex"""
"""machine learning""","""OpenAlex"""
"""residual neural network""","""OpenAlex"""
"""deep neural networks""","""OpenAlex"""
"""algorithm""","""OpenAlex"""
"""chemistry""","""OpenAlex"""
"""management""","""OpenAlex"""
"""organic chemistry""","""OpenAlex"""
"""economics""","""OpenAlex"""
"""programming language""","""OpenAlex"""
"""fos computer and information sciences""","""OpenAIRE"""
"""computer science""","""OpenAIRE"""
"""computer vision and pattern recognition (cs cv)""","""OpenAIRE"""
"""computer science - computer vision and pattern recognition""","""OpenAIRE"""
"""engineering and technology""","""OpenAIRE"""
"""machine learning""","""OpenAIRE"""
"""computer software genre""","""OpenAIRE"""
"""residual""","""OpenAIRE"""
"""convolutional neural network""","""OpenAIRE"""
"""residual neural network""","""OpenAIRE"""
"""nuclear medicine medical imaging""","""OpenAIRE"""
"""medical and health sciences""","""OpenAIRE"""
"""clinical medicine""","""OpenAIRE"""
"""electrical engineering electronic engineering information engineering""","""OpenAIRE"""
"""computer vision""","""OpenAIRE"""
"""radiology image segmentation""","""OpenAIRE"""
"""transformer (machine learning model)""","""OpenAIRE"""
"""vanishing gradient problem""","""OpenAIRE"""
"""applications of computer vision computer vision image processing""","""OpenAIRE"""
"""artificial neural network""","""OpenAIRE"""
"""business industry""","""OpenAIRE"""
"""deep learning""","""OpenAIRE"""
"""pattern recognition""","""OpenAIRE"""
"""test set""","""OpenAIRE"""
"""softmax function""","""OpenAIRE"""
"""artificial intelligence image processing""","""OpenAIRE"""
"""artificial intelligence""","""OpenAIRE"""
"""transfer of learning""","""OpenAIRE"""
"""business""","""OpenAIRE"""
"""computer""","""OpenAIRE"""
"""feature learning""","""OpenAIRE"""
"""mnist database""","""OpenAIRE"""
"""alignment-free sequence analysis""","""OpenAlex"""
"""smith-waterman algorithm""","""OpenAlex"""
"""sequence (biology)""","""OpenAlex"""
"""multiple sequence alignment""","""OpenAlex"""
"""similarity (geometry)""","""OpenAlex"""
"""measure (data warehouse)""","""OpenAlex"""
"""flexibility (engineering)""","""OpenAlex"""
"""data mining""","""OpenAlex"""
"""sequence alignment""","""OpenAlex"""
"""similitude""","""OpenAlex"""
"""computational biology""","""OpenAlex"""
"""mathematics""","""OpenAlex"""
"""gene""","""OpenAlex"""
"""genetics""","""OpenAlex"""
"""biology""","""OpenAlex"""
"""statistics""","""OpenAlex"""
"""peptide sequence""","""OpenAlex"""
"""image (mathematics)""","""OpenAlex"""
"""information retrieval""","""OpenAIRE"""
"""biology""","""OpenAIRE"""
"""recurrent neural network""","""OpenAlex"""
"""backpropagation""","""OpenAlex"""
"""constant (computer programming)""","""OpenAlex"""
"""term (time)""","""OpenAlex"""
"""physics""","""OpenAlex"""
"""quantum mechanics""","""OpenAlex"""
"""long short term memory""","""OpenAIRE"""
"""mean squared error""","""OpenAIRE"""
"""statistics""","""OpenAIRE"""
