Category1,Source1,Category2,Source2,Similarity,PapersInC1,PapersInC2,PapersInBoth,Agreement
residual,OpenAIRE,residual,OpenAlex,1.0,252,392,201,0.45372460496614
computer science,OpenAIRE,computer science,OpenAlex,1.0,35271,108555,35271,0.3249136382478927
artificial intelligence,OpenAIRE,artificial intelligence,OpenAlex,1.0,28362,108555,28362,0.2612684814149509
object detection,OpenAIRE,object detection,OpenAlex,1.0,791,644,370,0.3474178403755869
deep learning,OpenAIRE,deep learning,OpenAlex,1.0,2555,2820,1700,0.4625850340136054
segmentation,OpenAIRE,segmentation,OpenAlex,1.0,1752,2408,1543,0.5896064195643868
set (abstract data type),OpenAIRE,set (abstract data type),OpenAlex,1.0,1899,7202,1430,0.1864163733541911
artificial neural network,OpenAIRE,artificial neural network,OpenAlex,1.0,4968,7172,3749,0.4467882254796806
task (project management),OpenAIRE,task (project management),OpenAlex,1.0,1892,3928,1548,0.3623595505617977
machine learning,OpenAIRE,machine learning,OpenAlex,1.0,6830,17152,5277,0.2821170809943865
residual neural network,OpenAIRE,residual neural network,OpenAlex,1.0,37,36,12,0.1967213114754098
algorithm,OpenAIRE,algorithm,OpenAlex,1.0,6365,16248,5142,0.2943162955755251
chemistry,OpenAIRE,chemistry,OpenAlex,1.0,3269,10510,1973,0.1671184143655768
organic chemistry,OpenAIRE,organic chemistry,OpenAlex,1.0,685,2216,299,0.1149116064565718
economics,OpenAIRE,economics,OpenAlex,1.0,3687,15957,2864,0.1706793802145411
food industry,OpenAIRE,food industry,OpenAlex,1.0,38,23,17,0.3863636363636363
magnetotellurics,OpenAIRE,magnetotellurics,OpenAlex,1.0,8,7,7,0.875
alignment-free sequence analysis,OpenAIRE,alignment-free sequence analysis,OpenAlex,1.0,57,61,32,0.3720930232558139
smith-waterman algorithm,OpenAIRE,smith-waterman algorithm,OpenAlex,1.0,14,23,6,0.1935483870967742
multiple sequence alignment,OpenAIRE,multiple sequence alignment,OpenAlex,1.0,123,135,91,0.5449101796407185
measure (data warehouse),OpenAIRE,measure (data warehouse),OpenAlex,1.0,274,1353,154,0.1045485403937542
flexibility (engineering),OpenAIRE,flexibility (engineering),OpenAlex,1.0,318,736,280,0.3617571059431524
data mining,OpenAIRE,data mining,OpenAlex,1.0,4540,9717,3411,0.3144938226074129
sequence alignment,OpenAIRE,sequence alignment,OpenAlex,1.0,391,216,146,0.316702819956616
