Category1,Source1,Category2,Source2,Similarity,PapersInC1,PapersInC2,PapersInBoth,Agreement
artificial intelligence,OpenAIRE,computer science,OpenAlex,0.7153607433899932,28362,108555,28362,0.2612684814149509
business,OpenAIRE,computer science,OpenAlex,0.5153315050421815,50194,108555,50194,0.4623831237621482
engineering and technology,OpenAIRE,computer science,OpenAlex,0.7597246508473249,29291,108555,29291,0.2698263553037631
business,OpenAIRE,artificial intelligence,OpenAlex,0.5118464967170271,50194,108555,50194,0.4623831237621482
computer science,OpenAIRE,artificial intelligence,OpenAlex,0.7153607433899932,35271,108555,35271,0.3249136382478927
engineering and technology,OpenAIRE,artificial intelligence,OpenAlex,0.7301847394534217,29291,108555,29291,0.2698263553037631
convolutional neural network,OpenAIRE,deep learning,OpenAlex,0.5574719972529156,1607,2820,930,0.2659422362024592
image segmentation,OpenAIRE,segmentation,OpenAlex,0.8308392766193361,1377,2408,982,0.3503389225829468
artificial intelligence,OpenAIRE,pattern recognition (psychology),OpenAlex,0.2290931096475114,28362,12667,10098,0.3264685913808153
electrical engineering electronic engineering information engineering,OpenAIRE,pattern recognition (psychology),OpenAlex,0.4013832882919645,20661,12667,5570,0.2006628719648389
artificial intelligence image processing,OpenAIRE,pattern recognition (psychology),OpenAlex,0.4338127837484393,14227,12667,5039,0.2305650880805307
pattern recognition,OpenAIRE,pattern recognition (psychology),OpenAlex,0.4053248869949377,7486,12667,6416,0.467059765596564
computer,OpenAIRE,machine learning,OpenAlex,0.676016380779749,16697,17152,7048,0.2629752621170851
computer science,OpenAIRE,machine learning,OpenAlex,0.6942060868225773,35271,17152,9208,0.2130741640634039
artificial intelligence,OpenAIRE,machine learning,OpenAlex,0.6376737039044181,28362,17152,8939,0.2444019138755981
mathematics,OpenAIRE,algorithm,OpenAlex,0.4863905761114613,18266,16248,6814,0.2459927797833935
food safety,OpenAIRE,food industry,OpenAlex,0.8424266480253758,38,23,11,0.22
sequence,OpenAIRE,sequence (biology),OpenAlex,0.3641257855211572,490,1111,309,0.2391640866873065
sequence alignment,OpenAIRE,multiple sequence alignment,OpenAlex,0.9364704481556564,391,135,101,0.2376470588235294
similarity (psychology),OpenAIRE,similarity (geometry),OpenAlex,0.9826899701024912,566,2333,493,0.2049044056525353
measure (mathematics),OpenAIRE,measure (data warehouse),OpenAlex,0.912592096054365,510,1353,330,0.2152641878669275
computer,OpenAIRE,data mining,OpenAlex,0.6185568308657187,16697,9717,5280,0.2498343900823318
multiple sequence alignment,OpenAIRE,sequence alignment,OpenAlex,0.9364704481556564,123,216,100,0.4184100418410041
alignment-free sequence analysis,OpenAIRE,sequence alignment,OpenAlex,0.7579136650139556,57,216,52,0.2352941176470588
genetics,OpenAIRE,computational biology,OpenAlex,0.8321025599785604,3057,2330,1049,0.2418165053019824
biology,OpenAIRE,computational biology,OpenAlex,0.9027508892126634,7261,2330,1640,0.2062633630989812
bioinformatics,OpenAIRE,computational biology,OpenAlex,0.8936086548605443,1428,2330,636,0.2037155669442664
molecular biology,OpenAIRE,computational biology,OpenAlex,0.92042788389821,2273,2330,815,0.2151531151003168
business,OpenAIRE,mathematics,OpenAlex,0.3590039746248999,50194,46877,19776,0.2558509606054725
engineering and technology,OpenAIRE,mathematics,OpenAlex,0.5968238872209795,29291,46877,14533,0.2357913523160542
