Category1,Source1,Category2,Source2,Similarity,PapersInC1,PapersInC2,PapersInBoth,Agreement
business,OpenAIRE,computer science,OpenAlex,0.5153315050421815,50194,108555,50194,0.4623831237621482
business,OpenAIRE,artificial intelligence,OpenAlex,0.5118464967170271,50194,108555,50194,0.4623831237621482
pattern recognition,OpenAIRE,pattern recognition (psychology),OpenAlex,0.4053248869949377,7486,12667,6416,0.467059765596564
multiple sequence alignment,OpenAIRE,sequence alignment,OpenAlex,0.9364704481556564,123,216,100,0.4184100418410041
psychology,OpenAIRE,psychology,OpenAlex,0.6744615937991318,15018,27891,14244,0.4969126111983254
control theory,OpenAIRE,control (management),OpenAlex,0.3037947843606735,6577,12278,6089,0.4769700767664108
condorcet's jury theorem,OpenAIRE,jury,OpenAlex,0.5829376299509844,8,8,5,0.4545454545454545
contrast transfer function,OpenAIRE,spherical aberration,OpenAlex,0.7468498888991875,12,19,9,0.4090909090909091
appetite regulation,OpenAIRE,appetite,OpenAlex,0.681951574390699,7,6,5,0.625
context (language use),OpenAIRE,context (archaeology),OpenAlex,0.9030110254668426,3615,5198,3051,0.5295036445678584
benchmark (computing),OpenAIRE,benchmark (surveying),OpenAlex,0.9708058116765804,857,1575,728,0.4272300469483568
rna transfer,OpenAIRE,transfer rna,OpenAlex,0.8678328088289127,21,10,9,0.4090909090909091
canny edge detector,OpenAIRE,deriche edge detector,OpenAlex,0.9418579089131276,34,19,16,0.4324324324324324
pascal (programming language),OpenAIRE,pascal (unit),OpenAlex,0.9360546214248844,99,153,89,0.5460122699386503
lasso (statistics),OpenAIRE,lasso (programming language),OpenAlex,0.9543024020480222,96,124,74,0.5068493150684932
arthritis rheumatoid,OpenAIRE,rheumatoid arthritis,OpenAlex,0.7953652210269155,12,9,7,0.5
wavelet transform,OpenAIRE,wavelet,OpenAlex,0.8143585237547277,623,1290,557,0.4107669616519174
wavelet,OpenAIRE,wavelet transform,OpenAlex,0.8143585237547277,953,833,529,0.420843277645187
ranking,OpenAIRE,ranking (information retrieval),OpenAlex,0.3320849104200637,506,861,426,0.4527098831030818
wilcoxon signed-rank test,OpenAIRE,mann-whitney u test,OpenAlex,0.3485801460170758,27,38,20,0.4444444444444444
fuzzy classification,OpenAIRE,fuzzy set operations,OpenAlex,0.5998958820948286,577,383,277,0.4055636896046852
control theory,OpenAIRE,control theory (sociology),OpenAlex,0.443033309422342,6577,8167,5882,0.663732791694877
pyramid (image processing),OpenAIRE,pyramid (geometry),OpenAlex,0.9466360789120374,86,123,62,0.4217687074829932
force field (chemistry),OpenAIRE,force field (fiction),OpenAlex,0.9771571481532372,86,133,75,0.5208333333333334
exome,OpenAIRE,exome sequencing,OpenAlex,0.9469750087192744,7,8,5,0.5
fuzzy number,OpenAIRE,fuzzy set,OpenAlex,0.432983799260483,703,1142,550,0.4247104247104247
fuzzy set operations,OpenAIRE,fuzzy set,OpenAlex,0.8576028421579193,652,1142,516,0.4037558685446009
camera auto-calibration,OpenAIRE,camera resectioning,OpenAlex,0.5602096109566982,35,45,23,0.4035087719298245
distortion,OpenAIRE,distortion (music),OpenAlex,0.2909356258262682,255,376,187,0.4211711711711711
resilience (network),OpenAIRE,resilience (materials science),OpenAlex,0.9463773548355112,95,160,82,0.4739884393063583
centrifugal pump,OpenAIRE,impeller,OpenAlex,0.6144405068986519,8,10,6,0.5
ontology (information science),OpenAIRE,ontology,OpenAlex,0.5009346902606723,182,262,145,0.4849498327759197
stimulus (physiology),OpenAIRE,stimulus (psychology),OpenAlex,0.9894689180281608,615,844,518,0.5504782146652497
framing (social sciences),OpenAIRE,framing (construction),OpenAlex,0.9266706656419004,74,116,61,0.4728682170542636
action (philosophy),OpenAIRE,action (physics),OpenAlex,0.9876624792043824,808,1344,639,0.4223397224058162
robustness (computer science),OpenAIRE,robustness (evolution),OpenAlex,0.9574491536386808,1722,1962,1190,0.4771451483560545
diabetic retinopathy,OpenAIRE,diabetes mellitus,OpenAlex,0.8658230815094552,91,146,70,0.4191616766467065
percolation,OpenAIRE,percolation (cognitive psychology),OpenAlex,0.5200677354134933,21,33,16,0.4210526315789473
histogram matching,OpenAIRE,adaptive histogram equalization,OpenAlex,0.7939078034727254,60,53,33,0.4125
adaptive histogram equalization,OpenAIRE,histogram equalization,OpenAlex,0.9658062861952058,55,87,47,0.4947368421052631
level set method,OpenAIRE,level set (data structures),OpenAlex,0.5709671002727582,70,83,44,0.4036697247706422
fuzzy set operations,OpenAIRE,fuzzy number,OpenAlex,0.496974567769317,652,570,365,0.425904317386231
fuzzy classification,OpenAIRE,fuzzy number,OpenAlex,0.6535091529318298,577,570,332,0.407361963190184
stock market,OpenAIRE,horse,OpenAlex,0.1939767017682768,85,105,57,0.4285714285714285
land cover,OpenAIRE,land use,OpenAlex,0.7647153739278814,164,229,127,0.4774436090225564
scheduling (computing),OpenAIRE,scheduling (production processes),OpenAlex,0.9663120981668812,280,439,214,0.4237623762376237
light-emitting diode,OpenAIRE,led lamp,OpenAlex,0.3048045299703922,12,8,7,0.5384615384615384
enterprise planning system,OpenAIRE,enterprise system,OpenAlex,0.949793110143413,7,9,5,0.4545454545454545
bankruptcy,OpenAIRE,bankruptcy prediction,OpenAlex,0.739626291998386,35,54,26,0.4126984126984127
bankruptcy prediction,OpenAIRE,bankruptcy,OpenAlex,0.739626291998386,46,60,41,0.6307692307692307
albedo,OpenAIRE,albedo (alchemy),OpenAlex,0.2250340349247796,16,13,11,0.6111111111111112
affect (psychology),OpenAIRE,affect (linguistics),OpenAlex,0.9892146360263918,639,847,446,0.4288461538461538
vegetation,OpenAIRE,vegetation (pathology),OpenAlex,0.3288685737134825,112,142,74,0.4111111111111111
residue (complex analysis),OpenAIRE,residue (chemistry),OpenAlex,0.9535306519789172,7,13,7,0.5384615384615384
maximum power point tracking,OpenAIRE,maximum power principle,OpenAlex,0.8755489051375283,176,145,118,0.5812807881773399
maximum power point tracking,OpenAIRE,inverter,OpenAlex,0.6154058780022953,176,349,152,0.4075067024128686
promotion (rank),OpenAIRE,promotion (chess),OpenAlex,0.9471137895668142,97,127,72,0.4736842105263157
delphi method,OpenAIRE,delphi,OpenAlex,0.4273141766035201,234,226,167,0.5699658703071673
quantile,OpenAIRE,quantile regression,OpenAlex,0.9174814467733052,62,37,29,0.4142857142857143
antibiotic resistance,OpenAIRE,antibiotics,OpenAlex,0.8194873738820014,30,42,23,0.4693877551020408
compressed suffix array,OpenAIRE,suffix array,OpenAlex,0.9275913949480802,8,7,5,0.5
interpolation,OpenAIRE,interpolation (computer graphics),OpenAlex,0.4249814753282713,455,587,363,0.5346097201767305
tourism leisure and hospitality management,OpenAIRE,tourism,OpenAlex,0.6911858954649978,346,325,236,0.542528735632184
types of tourism tourism,OpenAIRE,tourism,OpenAlex,0.5210218538940793,284,325,185,0.4363207547169811
consumption (economics),OpenAIRE,consumption (sociology),OpenAlex,0.9931867880355794,184,309,143,0.4085714285714286
evolution of eusociality,OpenAIRE,eusociality,OpenAlex,0.673861791299529,9,13,7,0.4666666666666667
brain-computer interface,OpenAIRE,brain-computer interface,OpenAlex,0.732867755144573,76,125,61,0.4357142857142857
