27Category1,Source1,Category2,Source2,Similarity,PapersInC1,PapersInC2,PapersInBoth,Agreement
appetite regulation,OpenAIRE,appetite,OpenAlex,0.681951574390699,7,6,5,0.625
control theory,OpenAIRE,control theory (sociology),OpenAlex,0.443033309422342,6577,8167,5882,0.663732791694877
bankruptcy prediction,OpenAIRE,bankruptcy,OpenAlex,0.739626291998386,46,60,41,0.6307692307692307
albedo,OpenAIRE,albedo (alchemy),OpenAlex,0.2250340349247796,16,13,11,0.6111111111111112
homogenization (chemistry),OpenAIRE,homogenization (climate),OpenAlex,0.9713063715622324,16,16,13,0.6842105263157895
docking (molecular),OpenAIRE,docking (animal),OpenAlex,0.9758370465825692,67,62,57,0.7916666666666666
charismatic authority,OpenAIRE,charisma,OpenAlex,0.3260449216794484,8,10,7,0.6363636363636364
gamma diversity,OpenAIRE,alpha diversity,OpenAlex,0.9999999684344556,10,11,8,0.6153846153846154
active packaging,OpenAIRE,food packaging,OpenAlex,0.6009584940877517,8,12,8,0.6666666666666666
visual cryptography,OpenAIRE,secret sharing,OpenAlex,0.4601117447879302,16,24,16,0.6666666666666666
residual feed intake,OpenAIRE,feed conversion ratio,OpenAlex,0.8241481598425798,8,10,8,0.8
desorption electrospray ionization,OpenAIRE,chemical ionization,OpenAlex,0.8940319607863126,6,7,5,0.625
fundus (eye),OpenAIRE,fundus (uterus),OpenAlex,0.9273362270304868,79,91,67,0.6504854368932039
right bundle branch block,OpenAIRE,left bundle branch block,OpenAlex,0.8958899997332609,12,9,8,0.6153846153846154
peppered moth,OpenAIRE,melanism,OpenAlex,0.1507611057133006,6,7,6,0.8571428571428571
paraxial mesoderm,OpenAIRE,mesoderm,OpenAlex,0.878798784159725,15,16,13,0.7222222222222222
nephropathy,OpenAIRE,contrast-induced nephropathy,OpenAlex,0.536923992364453,8,10,7,0.6363636363636364
flocking (behavior),OpenAIRE,flocking (texture),OpenAlex,0.9663099079191182,30,32,25,0.6756756756756757
probiotics,OpenAIRE,probiotic,OpenAlex,0.934421421400774,7,8,6,0.6666666666666666
diverticulitis colonic,OpenAIRE,diverticulitis,OpenAlex,0.6759781157309421,6,7,5,0.625
huntington disease,OpenAIRE,huntington's disease,OpenAlex,0.6550156351848196,10,8,7,0.6363636363636364
cochlear implants,OpenAIRE,cochlear implant,OpenAlex,0.9775932954938572,29,34,24,0.6153846153846154
antiparallel (biochemistry),OpenAIRE,antiparallel (mathematics),OpenAlex,0.9925118091405636,6,9,6,0.6666666666666666
molding (process),OpenAIRE,molding (decorative),OpenAlex,0.9677252357761148,7,6,5,0.625
round-robin scheduling,OpenAIRE,two-level scheduling,OpenAlex,0.7471622662081825,8,10,7,0.6363636363636364
dissolved gas analysis,OpenAIRE,transformer oil,OpenAlex,0.6411533268629626,11,11,10,0.8333333333333334
aphasia primary progressive,OpenAIRE,primary progressive aphasia,OpenAlex,0.8911612398218143,7,6,6,0.8571428571428571
