Title;OpenAlexConcepts;OpenAIRESubjects_fromMag;Matching
MAXIMUM LIKELIHOOD ESTIMATION AND INFERENCE ON COINTEGRATION — WITH APPLICATIONS TO THE DEMAND FOR MONEY;Artificial intelligence | Cointegration | Computer science | Econometrics | Economics | Inference | Mathematical economics | Mathematical statistics | Mathematics | Statistics;05 social sciences | 0502 economics and business | 050205 econometrics | 050207 economics | 05020706 Macroeconomics | Autoregressive model | Cointegration | Econometrics | Economics | Economics and Econometrics | Error correction model | Johansen test | Rank (linear algebra) | Regression analysis | Social Sciences (miscellaneous) | Statistical hypothesis testing | Statistics | Statistics and Probability | Statistics, Probability and Uncertainty | Wald test | null;Openaire: cointegration - Openalex: cointegration | Openaire: 050205 econometrics - Openalex: econometrics | Openaire: econometrics - Openalex: econometrics | Openaire: economics and econometrics - Openalex: econometrics | Openaire: 0502 economics and business - Openalex: economics | Openaire: 050207 economics - Openalex: economics | Openaire: economics - Openalex: economics | Openaire: economics and econometrics - Openalex: economics | Openaire: 0502 economics and business - Openalex: mathematical economics | Openaire: 050207 economics - Openalex: mathematical economics | Openaire: economics - Openalex: mathematical economics | Openaire: economics and econometrics - Openalex: mathematical economics | Openaire: statistics - Openalex: mathematical statistics | Openaire: statistics and probability - Openalex: mathematical statistics | Openaire: statistics - Openalex: statistics | Openaire: statistics and probability - Openalex: statistics
Indexing by latent semantic analysis;Algorithm | Artificial intelligence | Basis (linear algebra) | Composite material | Computer science | Cosine similarity | Data mining | Geometry | Information retrieval | Latent semantic analysis | Materials science | Mathematics | Matrix (chemical analysis) | Pattern recognition (psychology) | Physics | Programming language | Quantum mechanics | Search engine indexing | Set (abstract data type) | Singular value decomposition | Term (time) | Vector space model;Automatic indexing | Document retrieval | Document-term matrix | Explicit semantic analysis | General Engineering | Information retrieval | Latent semantic analysis | Mathematics | Probabilistic latent semantic analysis | Random indexing | Vector space model;Openaire: document retrieval - Openalex: information retrieval | Openaire: information retrieval - Openalex: information retrieval | Openaire: explicit semantic analysis - Openalex: latent semantic analysis | Openaire: latent semantic analysis - Openalex: latent semantic analysis | Openaire: probabilistic latent semantic analysis - Openalex: latent semantic analysis | Openaire: mathematics - Openalex: mathematics | Openaire: document-term matrix - Openalex: matrix (chemical analysis) | Openaire: automatic indexing - Openalex: search engine indexing | Openaire: random indexing - Openalex: search engine indexing | Openaire: vector space model - Openalex: vector space model
Scale-space and edge detection using anisotropic diffusion;Algorithm | Anisotropic diffusion | Artificial intelligence | Boundary (topology) | Class (philosophy) | Computer science | Computer vision | Diffusion | Edge detection | Enhanced Data Rates for GSM Evolution | Image (mathematics) | Image processing | Mathematical analysis | Mathematics | Maxima and minima | Operating system | Physics | Quantum mechanics | Scale (ratio) | Scale space | Smoothing | Space (punctuation) | Thermodynamics;;
Backpropagation through time: what it does and how to do it;Algorithm | Artificial intelligence | Artificial neural network | Backpropagation | Biology | Botany | Code (set theory) | Computer science | Epistemology | Focus (optics) | Identification (biology) | Optics | Philosophy | Physics | Programming language | Set (abstract data type) | Simple (philosophy) | Theoretical computer science;Artificial intelligence | Artificial neural network | Backpropagation | Backpropagation through time | Computer science | Deep learning | Electrical and Electronic Engineering | Nonlinear system identification | Recurrent neural network | Time delay neural network | Types of artificial neural networks | business | business.industry;Openaire: artificial intelligence - Openalex: artificial intelligence | Openaire: artificial neural network - Openalex: artificial intelligence | Openaire: types of artificial neural networks - Openalex: artificial intelligence | Openaire: artificial intelligence - Openalex: artificial neural network | Openaire: artificial neural network - Openalex: artificial neural network | Openaire: recurrent neural network - Openalex: artificial neural network | Openaire: time delay neural network - Openalex: artificial neural network | Openaire: types of artificial neural networks - Openalex: artificial neural network | Openaire: backpropagation - Openalex: backpropagation | Openaire: backpropagation through time - Openalex: backpropagation | Openaire: computer science - Openalex: computer science | Openaire: nonlinear system identification - Openalex: identification (biology) | Openaire: computer science - Openalex: theoretical computer science
Neural network ensembles;Algorithm | Artificial intelligence | Artificial neural network | Computer science | Generalization | Machine learning | Mathematical analysis | Mathematics | Pattern recognition (psychology) | Residual;Applied Mathematics | Artificial Intelligence | Artificial intelligence | Artificial neural network | Computational Theory and Mathematics | Computer Vision and Pattern Recognition | Computer science | Ensemble diversity | Ensembles of classifiers | Fault tolerance | Generalization error | Machine learning | Pattern recognition | Pattern recognition (psychology) | Residual | Software | Time delay neural network | business | business.industry | computer | computer.software_genre | crossvalidation | fault tolerant computing | neural networks;Openaire: artificial intelligence - Openalex: artificial intelligence | Openaire: artificial neural network - Openalex: artificial intelligence | Openaire: artificial intelligence - Openalex: artificial neural network | Openaire: artificial neural network - Openalex: artificial neural network | Openaire: time delay neural network - Openalex: artificial neural network | Openaire: neural networks - Openalex: artificial neural network | Openaire: computer vision and pattern recognition - Openalex: computer science | Openaire: computer science - Openalex: computer science | Openaire: computer - Openalex: computer science | Openaire: generalization error - Openalex: generalization | Openaire: machine learning - Openalex: machine learning | Openaire: applied mathematics - Openalex: mathematics | Openaire: computational theory and mathematics - Openalex: mathematics | Openaire: computer vision and pattern recognition - Openalex: pattern recognition (psychology) | Openaire: pattern recognition - Openalex: pattern recognition (psychology) | Openaire: pattern recognition (psychology) - Openalex: pattern recognition (psychology) | Openaire: residual - Openalex: residual
Modeling of the Bacterial Growth Curve;Applied mathematics | Artificial intelligence | Artificial neural network | Bacteria | Bacterial growth | Biological system | Biology | Computer science | Confidence interval | Ecology | Genetics | Gompertz function | Growth curve (statistics) | Growth model | Lactic acid | Lactobacillus plantarum | Logistic function | Mathematical economics | Mathematics | Richards equation | Sigmoid function | Soil water | Statistics | Test (biology);Applied Microbiology and Biotechnology | Applied mathematics | Bacterial growth | Biotechnology | Confidence interval | Ecology | F-test | Food Chemistry and Microbiology | Food Microbiology | Food Science | Gompertz function | Growth data | Lack-of-fit sum of squares | Levensmiddelenchemie en -microbiologie | Life Science | Mathematics | Sectie Proceskunde | Sigmoid function | Statistical analysis | Sub-department of Food and Bioprocess Engineering;Openaire: applied microbiology and biotechnology - Openalex: applied mathematics | Openaire: applied mathematics - Openalex: applied mathematics | Openaire: mathematics - Openalex: applied mathematics | Openaire: bacterial growth - Openalex: bacterial growth | Openaire: growth data - Openalex: bacterial growth | Openaire: food science - Openalex: computer science | Openaire: life science - Openalex: computer science | Openaire: confidence interval - Openalex: confidence interval | Openaire: ecology - Openalex: ecology | Openaire: gompertz function - Openalex: gompertz function | Openaire: sigmoid function - Openalex: gompertz function | Openaire: bacterial growth - Openalex: growth curve (statistics) | Openaire: growth data - Openalex: growth curve (statistics) | Openaire: bacterial growth - Openalex: growth model | Openaire: growth data - Openalex: growth model | Openaire: gompertz function - Openalex: logistic function | Openaire: sigmoid function - Openalex: logistic function | Openaire: applied mathematics - Openalex: mathematics | Openaire: mathematics - Openalex: mathematics | Openaire: gompertz function - Openalex: sigmoid function | Openaire: sigmoid function - Openalex: sigmoid function
Linearizability: a correctness condition for concurrent objects;Artificial intelligence | Computer science | Concurrency | Concurrency control | Correctness | Database transaction | Distributed computing | Linearizability | Object (grammar) | Programming language | Theoretical computer science;Causal consistency | Computer science | Concurrency | Concurrent algorithm | Concurrent data structure | Concurrent object-oriented programming | Correctness | Linearizability | Programming language | Sequential consistency | Software | computer | computer.software_genre;Openaire: computer science - Openalex: computer science | Openaire: computer - Openalex: computer science | Openaire: concurrency - Openalex: concurrency | Openaire: concurrency - Openalex: concurrency control | Openaire: correctness - Openalex: correctness | Openaire: linearizability - Openalex: linearizability | Openaire: concurrent object-oriented programming - Openalex: programming language | Openaire: programming language - Openalex: programming language | Openaire: computer science - Openalex: theoretical computer science | Openaire: computer - Openalex: theoretical computer science
The R*-tree: an efficient and robust access method for points and rectangles;Algorithm | Artificial intelligence | Binary tree | Combinatorics | Computer network | Computer science | Geometry | Heuristic | Interval tree | Mathematics | Point (geometry) | Range tree | Rectangle | Testbed | Theoretical computer science | Tree (set theory) | Tree structure;;
Measurement of lower extremity kinematics during level walking;Anatomy | Ankle | Artificial intelligence | Classical mechanics | Computer science | Computer vision | Electronic engineering | Engineering | Euler angles | Gait | Gait analysis | Geometry | Joint (building) | Kinematics | Mathematics | Medicine | Motion (physics) | Motion analysis | Motion capture | Pelvis | Physical medicine and rehabilitation | Physics | Rotation (mathematics) | Sensitivity (control systems) | Simulation | Structural engineering;Adolescent | Adult | Algorithms | Artificial intelligence | Biomechanical Phenomena | Body movement | Circular motion | Computer science | Computer vision | Effect of gait parameters on energetic cost | Euler angles | Female | Gait | Gait | Gait analysis | Humans | Image Processing, Computer-Assisted | Kinematics | Leg | Male | Motion analysis | Orthopedics and Sports Medicine | Surgery | business | business.industry | medicine | medicine.medical_specialty | symbols | symbols.namesake;Openaire: artificial intelligence - Openalex: artificial intelligence | Openaire: computer science - Openalex: computer science | Openaire: computer vision - Openalex: computer science | Openaire: computer science - Openalex: computer vision | Openaire: computer vision - Openalex: computer vision | Openaire: euler angles - Openalex: euler angles | Openaire: effect of gait parameters on energetic cost - Openalex: gait | Openaire: gait - Openalex: gait | Openaire: gait analysis - Openalex: gait | Openaire: effect of gait parameters on energetic cost - Openalex: gait analysis | Openaire: gait - Openalex: gait analysis | Openaire: gait analysis - Openalex: gait analysis | Openaire: motion analysis - Openalex: gait analysis | Openaire: kinematics - Openalex: kinematics | Openaire: orthopedics and sports medicine - Openalex: medicine | Openaire: medicine - Openalex: medicine | Openaire: circular motion - Openalex: motion (physics) | Openaire: motion analysis - Openalex: motion (physics) | Openaire: circular motion - Openalex: motion analysis | Openaire: gait analysis - Openalex: motion analysis | Openaire: motion analysis - Openalex: motion analysis | Openaire: circular motion - Openalex: motion capture | Openaire: motion analysis - Openalex: motion capture | Openaire: orthopedics and sports medicine - Openalex: physical medicine and rehabilitation | Openaire: medicine - Openalex: physical medicine and rehabilitation
The symbol grounding problem;Arithmetic | Artificial intelligence | Basis (linear algebra) | Categorical variable | Communication | Computer science | Event (particle physics) | Geometry | Invariant (physics) | Linguistics | Machine learning | Mathematical physics | Mathematics | Natural language processing | Object (grammar) | Philosophy | Physics | Psychoanalysis | Psychology | Quantum mechanics | Symbol (formal) | The Symbolic;Artificial Intelligence (cs.AI) | Computer Science - Artificial Intelligence | Computer science | Condensed Matter Physics | FOS: Computer and information sciences | I.2.0 | Linguistics | Semantic interpretation | Statistical and Nonlinear Physics | Symbol | Symbol grounding | media_common | media_common.quotation_subject;Openaire: artificial intelligence (cs.ai) - Openalex: artificial intelligence | Openaire: computer science - artificial intelligence - Openalex: artificial intelligence | Openaire: computer science - artificial intelligence - Openalex: computer science | Openaire: computer science - Openalex: computer science | Openaire: fos: computer and information sciences - Openalex: computer science | Openaire: linguistics - Openalex: linguistics | Openaire: condensed matter physics - Openalex: mathematical physics | Openaire: statistical and nonlinear physics - Openalex: mathematical physics | Openaire: condensed matter physics - Openalex: physics | Openaire: statistical and nonlinear physics - Openalex: physics | Openaire: symbol - Openalex: symbol (formal) | Openaire: symbol grounding - Openalex: symbol (formal)
