Category1,Source1,Category2,Source2,similarity,PapersInC1,PapersInC2,PapersInBoth,Discripancy
microbubbles,OpenAIRE,microbubbles,OpenAlex,1.0,4,3,3,0.75
microbubbles,OpenAlex,microbubbles,OpenAIRE,1.0,3,4,3,0.75
sexual selection,OpenAIRE,sexual selection,OpenAlex,1.0,93,107,84,0.7241379310344828
sexual selection,OpenAlex,sexual selection,OpenAIRE,1.0,107,93,84,0.7241379310344828
expatriate,OpenAIRE,expatriate,OpenAlex,1.0,5,5,5,1.0
absorptive capacity,OpenAIRE,absorptive capacity,OpenAlex,1.0,16,10,10,0.625
multinational corporation,OpenAIRE,multinational corporation,OpenAlex,1.0,22,25,18,0.6206896551724138
expatriate,OpenAlex,expatriate,OpenAIRE,1.0,5,5,5,1.0
absorptive capacity,OpenAlex,absorptive capacity,OpenAIRE,1.0,10,16,10,0.625
multinational corporation,OpenAlex,multinational corporation,OpenAIRE,1.0,25,22,18,0.6206896551724138
multispectral image,OpenAIRE,multispectral image,OpenAlex,1.0,60,68,53,0.7066666666666667
speckle pattern,OpenAIRE,speckle pattern,OpenAlex,1.0,40,43,34,0.6938775510204082
multispectral image,OpenAlex,multispectral image,OpenAIRE,1.0,68,60,53,0.7066666666666667
enantiomer,OpenAIRE,enantiomer,OpenAlex,1.0,11,10,8,0.6153846153846154
cyclodextrin,OpenAIRE,cyclodextrin,OpenAlex,1.0,2,2,2,1.0
cyclodextrin,OpenAlex,cyclodextrin,OpenAIRE,1.0,2,2,2,1.0
enantiomer,OpenAlex,enantiomer,OpenAIRE,1.0,10,11,8,0.6153846153846154
unbundling,OpenAIRE,unbundling,OpenAlex,1.0,1,1,1,1.0
unbundling,OpenAlex,unbundling,OpenAIRE,1.0,1,1,1,1.0
ordinal regression,OpenAIRE,ordinal regression,OpenAlex,1.0,8,8,7,0.7777777777777778
ordinal regression,OpenAlex,ordinal regression,OpenAIRE,1.0,8,8,7,0.7777777777777778
domestication,OpenAIRE,domestication,OpenAlex,1.0,26,28,26,0.9285714285714286
introgression,OpenAIRE,introgression,OpenAlex,1.0,4,5,4,0.8
introgression,OpenAlex,introgression,OpenAIRE,1.0,5,4,4,0.8
ancient dna,OpenAlex,ancient dna,OpenAIRE,1.0,2,3,2,0.6666666666666666
domestication,OpenAlex,domestication,OpenAIRE,1.0,28,26,26,0.9285714285714286
metabolomics,OpenAlex,metabolomics,OpenAIRE,1.0,12,17,11,0.6111111111111112
reticulate,OpenAIRE,reticulate,OpenAlex,1.0,1,1,1,1.0
reticulate,OpenAlex,reticulate,OpenAIRE,1.0,1,1,1,1.0
adaptive hypermedia,OpenAIRE,adaptive hypermedia,OpenAlex,1.0,2,2,2,1.0
hypertext,OpenAIRE,hypertext,OpenAlex,1.0,10,13,9,0.6428571428571429
adaptive hypermedia,OpenAlex,adaptive hypermedia,OpenAIRE,1.0,2,2,2,1.0
glaucoma,OpenAIRE,glaucoma,OpenAlex,1.0,11,12,11,0.9166666666666666
glaucoma,OpenAlex,glaucoma,OpenAIRE,1.0,12,11,11,0.9166666666666666
monetarism,OpenAIRE,monetarism,OpenAlex,1.0,1,1,1,1.0
monetarism,OpenAlex,monetarism,OpenAIRE,1.0,1,1,1,1.0
convolutional neural network,OpenAIRE,convolutional neural network,OpenAlex,1.0,446,648,413,0.6064610866372981
kinematics,OpenAlex,kinematics,OpenAIRE,1.0,138,114,96,0.6153846153846154
coalescent theory,OpenAIRE,coalescent theory,OpenAlex,1.0,27,33,27,0.8181818181818182
sphinx,OpenAIRE,sphinx,OpenAlex,1.0,1,1,1,1.0
sphinx,OpenAlex,sphinx,OpenAIRE,1.0,1,1,1,1.0
soil and water assessment tool,OpenAIRE,soil and water assessment tool,OpenAlex,1.0,2,3,2,0.6666666666666666
watershed,OpenAIRE,watershed,OpenAlex,1.0,14,15,11,0.6111111111111112
watershed,OpenAlex,watershed,OpenAIRE,1.0,15,14,11,0.6111111111111112
soil and water assessment tool,OpenAlex,soil and water assessment tool,OpenAIRE,1.0,3,2,2,0.6666666666666666
activity recognition,OpenAIRE,activity recognition,OpenAlex,1.0,40,46,34,0.6538461538461539
activity recognition,OpenAlex,activity recognition,OpenAIRE,1.0,46,40,34,0.6538461538461539
automatic target recognition,OpenAlex,automatic target recognition,OpenAIRE,1.0,4,6,4,0.6666666666666666
herding,OpenAIRE,herding,OpenAlex,1.0,4,5,4,0.8
particle swarm optimization,OpenAIRE,particle swarm optimization,OpenAlex,1.0,106,134,95,0.6551724137931034
herding,OpenAlex,herding,OpenAIRE,1.0,5,4,4,0.8
civil society,OpenAlex,civil society,OpenAIRE,1.0,5,5,4,0.6666666666666666
softmax function,OpenAIRE,softmax function,OpenAlex,1.0,26,25,22,0.7586206896551724
convolutional neural network,OpenAlex,convolutional neural network,OpenAIRE,1.0,648,446,413,0.6064610866372981
softmax function,OpenAlex,softmax function,OpenAIRE,1.0,25,26,22,0.7586206896551724
wearable computer,OpenAIRE,wearable computer,OpenAlex,1.0,38,56,36,0.6206896551724138
wearable computer,OpenAlex,wearable computer,OpenAIRE,1.0,56,38,36,0.6206896551724138
coded aperture,OpenAlex,coded aperture,OpenAIRE,1.0,5,5,4,0.6666666666666666
identifiability,OpenAIRE,identifiability,OpenAlex,1.0,16,14,13,0.7647058823529411
anomaly detection,OpenAIRE,anomaly detection,OpenAlex,1.0,89,93,71,0.6396396396396397
anomaly detection,OpenAlex,anomaly detection,OpenAIRE,1.0,93,89,71,0.6396396396396397
density dependence,OpenAIRE,density dependence,OpenAlex,1.0,3,2,2,0.6666666666666666
density dependence,OpenAlex,density dependence,OpenAIRE,1.0,2,3,2,0.6666666666666666
fusiform gyrus,OpenAlex,fusiform gyrus,OpenAIRE,1.0,10,10,9,0.8181818181818182
corporate social responsibility,OpenAIRE,corporate social responsibility,OpenAlex,1.0,47,45,39,0.7358490566037735
hypocrisy,OpenAIRE,hypocrisy,OpenAlex,1.0,1,1,1,1.0
hypocrisy,OpenAlex,hypocrisy,OpenAIRE,1.0,1,1,1,1.0
corporate social responsibility,OpenAlex,corporate social responsibility,OpenAIRE,1.0,45,47,39,0.7358490566037735
concreteness,OpenAIRE,concreteness,OpenAlex,1.0,4,5,4,0.8
bigram,OpenAIRE,bigram,OpenAlex,1.0,9,9,7,0.6363636363636364
bigram,OpenAlex,bigram,OpenAIRE,1.0,9,9,7,0.6363636363636364
concreteness,OpenAlex,concreteness,OpenAIRE,1.0,5,4,4,0.8
class size,OpenAlex,class size,OpenAIRE,1.0,9,13,9,0.6923076923076923
adjective,OpenAIRE,adjective,OpenAlex,1.0,9,9,7,0.6363636363636364
adjective,OpenAlex,adjective,OpenAIRE,1.0,9,9,7,0.6363636363636364
many-body problem,OpenAIRE,three-body problem,OpenAlex,0.9097091333197218,1,1,1,1.0
three-body problem,OpenAIRE,three-body problem,OpenAlex,1.0,1,1,1,1.0
three-body problem,OpenAlex,three-body problem,OpenAIRE,1.0,1,1,1,1.0
three-body problem,OpenAlex,many-body problem,OpenAIRE,0.9097091333197218,1,1,1,1.0
iris recognition,OpenAlex,iris recognition,OpenAIRE,1.0,12,14,12,0.8571428571428571
block diagram,OpenAIRE,block diagram,OpenAlex,1.0,3,2,2,0.6666666666666666
block diagram,OpenAlex,block diagram,OpenAIRE,1.0,2,3,2,0.6666666666666666
software review,OpenAIRE,software technical review,OpenAlex,0.9512468902411104,1,1,1,1.0
software technical review,OpenAlex,software review,OpenAIRE,0.9512468902411104,1,1,1,1.0
saccadic masking,OpenAIRE,saccadic masking,OpenAlex,1.0,26,32,23,0.6571428571428571
stereocenter,OpenAIRE,stereocenter,OpenAlex,1.0,1,1,1,1.0
stereocenter,OpenAlex,stereocenter,OpenAIRE,1.0,1,1,1,1.0
coalescent theory,OpenAlex,coalescent theory,OpenAIRE,1.0,33,27,27,0.8181818181818182
extreme learning machine,OpenAIRE,extreme learning machine,OpenAlex,1.0,27,23,21,0.7241379310344828
