Category1,Source1,Category2,Source2,similarity,PapersInC1,PapersInC2,PapersInBoth,Agreement
business,OpenAIRE,computer science,OpenAlex,0.5153315050421815,12894,28905,12894,0.4460819927348209
pattern recognition,OpenAIRE,pattern recognition (psychology),OpenAlex,0.4053248869949377,2061,3593,1764,0.4534704370179948
context (archaeology),OpenAlex,context (language use),OpenAIRE,0.9030110254668426,1330,894,734,0.4926174496644295
pattern recognition (psychology),OpenAlex,pattern recognition,OpenAIRE,0.4053248869949377,3593,2061,1764,0.4534704370179948
computer science,OpenAlex,business,OpenAIRE,0.5153315050421815,28905,12894,12894,0.4460819927348209
sexual selection,OpenAIRE,mate choice,OpenAlex,0.4012893196514377,93,58,46,0.4380952380952381
sexual selection,OpenAIRE,mating,OpenAlex,0.6427836963057078,93,91,55,0.4263565891472868
mate choice,OpenAlex,sexual selection,OpenAIRE,0.4012893196514377,58,93,46,0.4380952380952381
mating,OpenAlex,sexual selection,OpenAIRE,0.6427836963057078,91,93,55,0.4263565891472868
genetics,OpenAlex,biology,OpenAIRE,0.8202186941629346,1750,2128,1135,0.4137805322639445
fractal analysis,OpenAlex,fractal dimension,OpenAIRE,0.8307394036039513,17,18,11,0.4583333333333333
fractal dimension on networks,OpenAlex,fractal dimension,OpenAIRE,0.618853832193454,11,18,9,0.45
context (language use),OpenAIRE,context (archaeology),OpenAlex,0.9030110254668426,894,1330,734,0.4926174496644295
lattice (order),OpenAIRE,lattice (music),OpenAlex,0.927221026517696,24,37,18,0.4186046511627907
biology,OpenAIRE,genetics,OpenAlex,0.8202186941629346,2128,1750,1135,0.4137805322639445
action (philosophy),OpenAIRE,action (physics),OpenAlex,0.9876624792043824,250,420,195,0.4105263157894737
surface finish,OpenAIRE,surface roughness,OpenAlex,0.798388824036687,15,12,9,0.5
surface roughness,OpenAlex,surface finish,OpenAIRE,0.798388824036687,12,15,9,0.5
control theory,OpenAIRE,control theory (sociology),OpenAlex,0.443033309422342,1378,1735,1212,0.6375591793792741
control theory (sociology),OpenAlex,control theory,OpenAIRE,0.443033309422342,1735,1378,1212,0.6375591793792741
consumption (economics),OpenAIRE,consumption (sociology),OpenAlex,0.9931867880355794,49,84,41,0.4456521739130434
hydrology,OpenAIRE,hydrology (agriculture),OpenAlex,0.4092987283842136,31,28,17,0.4047619047619047
benchmark (computing),OpenAIRE,benchmark (surveying),OpenAlex,0.9708058116765804,279,488,233,0.4363295880149813
benchmark (surveying),OpenAlex,benchmark (computing),OpenAIRE,0.9708058116765804,488,279,233,0.4363295880149813
robustness (computer science),OpenAIRE,robustness (evolution),OpenAlex,0.9574491536386808,424,474,280,0.4530744336569579
wearable technology,OpenAlex,wearable computer,OpenAIRE,0.8290741289597876,36,38,25,0.5102040816326531
fuzzy classification,OpenAIRE,fuzzy set operations,OpenAlex,0.5998958820948286,171,127,92,0.4466019417475728
type-2 fuzzy sets and systems,OpenAIRE,fuzzy set operations,OpenAlex,0.717850261424734,112,127,72,0.4311377245508982
fuzzy number,OpenAIRE,fuzzy set operations,OpenAlex,0.496974567769317,197,127,94,0.408695652173913
fuzzy set operations,OpenAIRE,fuzzy number,OpenAlex,0.496974567769317,191,159,114,0.4830508474576271
fuzzy classification,OpenAIRE,fuzzy number,OpenAlex,0.6535091529318298,171,159,105,0.4666666666666667
fuzzy set operations,OpenAIRE,fuzzy set,OpenAlex,0.8576028421579193,191,296,159,0.4847560975609756
fuzzy classification,OpenAIRE,fuzzy set,OpenAlex,0.4676056450723837,171,296,146,0.454828660436137
fuzzy number,OpenAIRE,fuzzy set,OpenAlex,0.432983799260483,197,296,168,0.5169230769230769
fuzzy set operations,OpenAlex,fuzzy classification,OpenAIRE,0.5998958820948286,127,171,92,0.4466019417475728
fuzzy set,OpenAlex,fuzzy classification,OpenAIRE,0.4676056450723837,296,171,146,0.454828660436137
